Sector,RealSector,Country,Country Code,amount,time,DealType,Company Name,DealSubtype
Infrastructure,,Afghanistan,AF,40100000.0,2005,Sale of mobile license ,Areeba Afghanistan,"Build, own, transfer"
Infrastructure,,Afghanistan,AF,40000000.0,2006,Greenfield,Etisalat Afghanistan,
Financial,,Albania,AL,10000000.0,2000,,National Commercial Bank,
Infrastructure,,Albania,AL,85600000.0,2000,Divestiture,Albanian Mobile Communication,Full
Infrastructure,,Albania,AL,38000000.0,2001,,Vodafone Albania,
Energy,,Albania,AL,3410000.0,2003,Divestiture,Petrolimpex sh.a. Tirana,Partial
Financial,,Albania,AL,10540000.0,2003,Greenfield project,INSIG,"Build, own, and operate"
Financial,,Albania,AL,124820000.0,2003,Divestiture,Savings Bank of Albania,Partial
Competitive,,Albania,AL,6450000.0,2004,auction,Hotel Tirana,
Financial,,Albania,AL,40800000.0,2005,,Italian Albanian Bank,
Infrastructure,,Albania,AL,161000000.0,2007,Divestiture,Albtelecom,Partial (76%)
Competitive,,Algeria,DZ,7000000.0,2000,Divestiture,Hotel Aurassi,Partial
Infrastructure,,Algeria,DZ,368500000.0,2001,Greenfield project,Djezzy GSM,"Build, own, and operate"
Infrastructure,,Algeria,DZ,360000000.0,2003,Greenfield project,Djezzy GSM,"Build, own, and operate"
Infrastructure,,Algeria,DZ,421000000.0,2004,Sale of mobile license,Wataniya Telecom Algerie,"Build, own, transfer "
Competitive,,Algeria,DZ,158000000.0,2005,,Asmidal Fertilizer Company,66% Stake Purchase
Infrastructure,,Algeria,DZ,65000000.0,2005,Sale of mobile license,Consortium Algerien des Telecommunications,"Build, own, transfer"
Infrastructure,,Algeria,DZ,161000000.0,2007,Management and lease contract,Metro of Algiers,Management contract (100%)
Financial,,Angola,AO,1500000.0,2004,Divestiture,ex-Lojas Francas,Partial (30%)
Competitive,,Angola,AO,10850000.0,2005,Divestiture,Encime-Lobito,Partial (51%)
Competitive,,Angola,AO,2140000.0,2005,Divestiture,Hotel Alameda,
Competitive,,Angola,AO,1700000.0,2005,Divestiture,Hotel Mundial,
Competitive,,Angola,AO,3500000.0,2006,Divestiture,Embal,Partial
Competitive,,Angola,AO,2750000.0,2006,Divestiture,Grande Hotel da Huila,
Competitive,,Angola,AO,3500000.0,2006,Divestiture,Hotel Panorama,
Infrastructure,,Argentina,AR,1200000.0,2000,Concession,Aguas del Gran Buenos Aires S.A.,"Build, rehabilitate, operate, and transfer"
Infrastructure,,Argentina,AR,1000000.0,2000,Concession,Lacroze Railway Terminal,"Build, rehabilitate, operate, and transfer"
Infrastructure,,Argentina,AR,9400000.0,2000,Concession,Once Railway Terminal,"Rehabilitate, operate, and transfer"
Infrastructure,,Argentina,AR,1300000.0,2001,Management and lease contract,Constitucion Railway Terminal,Management contract
Infrastructure,,Argentina,AR,10200000.0,2001,Concession,Neuquen Airport,"Rehabilitate, operate, and transfer"
Infrastructure,,Argentina,AR,,2003,Management and lease contract,Interurban Road Network - Corridor 1,Management contract
Infrastructure,,Argentina,AR,,2003,Management and lease contract,Interurban Road Network - Corridor 2,Management contract
Infrastructure,,Argentina,AR,,2003,Management and lease contract,Interurban Road Network - Corridor 3,Management contract
Infrastructure,,Argentina,AR,,2003,Management and lease contract,Interurban Road Network - Corridor 4,Management contract
Infrastructure,,Argentina,AR,,2003,Management and lease contract,Interurban Road Network - Corridor 5,Management contract
Infrastructure,,Argentina,AR,,2003,Concession,Interurban Road Network - Corridor 6,"Build, rehabilitate, operate, and transfer"
Competitive,,Armenia,AM,15000000.0,2002,Divestiture,Nairit-1,Partial
Infrastructure,,Armenia,AM,12000000.0,2002,Divestiture,Armenia Power Networks,Full
Primary,,Armenia,AM,3300000.0,2002,,Ararat Gold Mining,
Infrastructure,,Armenia,AM,25000000.0,2003,,Sevan-Hrazdan Cascade of HEPS,
Competitive,,Armenia,AM,3800000.0,2004,,Hotel Dvin,
Primary,,Armenia,AM,132000000.0,2004,Tender ,Zangezur Copper-Molybdenum Plant,
Infrastructure,,Armenia,AM,5000000.0,2008,Concession,Armenia Railway Concession,"Build, rehabilitate, operate, and transfer"
Financial,,Azerbaijan,AZ,1100000.0,2003,Private Sale,United Universal Inc Bank,
Infrastructure,,Azerbaijan,AZ,10000000.0,2004,Sale of mobile license,J.V. Bakcell,"Build, own, operate"
Infrastructure,,Azerbaijan,AZ,180000000.0,2008,Greenfield project,Azercell Telecom BV,
Competitive,,Bangladesh,BD,1000000.0,2000,Divestiture,Bawa Jute Mills,Full
Competitive,,Bangladesh,BD,4600000.0,2000,Divestiture,Kaliachapra Sugar Mills,Full
Competitive,,Bangladesh,BD,1500000.0,2000,Divestiture,Noakhali Textile Mills,Full
Competitive,,Bangladesh,BD,1600000.0,2000,Divestiture,Satrang Textile Mills,Full
Financial,,Bangladesh,BD,2700000.0,2000,Divestiture,Eastern Bank Ltd,Partial
Financial,,Bangladesh,BD,1200000.0,2000,Divestiture,Islami Bank Bangladesh,Partial
Infrastructure,,Bangladesh,BD,50000000.0,2005,Sale of mobile license,Warid Telecom,"Build, own, operate"
Infrastructure,,Bangladesh,BD,1700000.0,2007,Greenfield project,National TeleCom Ltd,Merchant (100%)
Infrastructure,,Bangladesh,BD,31000000.0,2008,IPO,Titas Gas Transmission and Distribution Co. Ltd.,Partial
Infrastructure,,Belarus,BY,23500000.0,2001,Greenfield project,MTS Belarus,"Build, own, and operate"
Infrastructure,,Belarus,BY,300000000.0,2008,Divestiture,BeST,Partial
Infrastructure,,Belarus,BY,3960000.0,2008,Divestiture,Belterminal,Partial
Infrastructure,,Belize,BZ,49600000.0,2001,Divestiture,Belize Water Services,Full
Infrastructure,,Belize,BZ,37600000.0,2002,Divestiture,Belize City Port,Partial
Infrastructure,,Benin,BJ,69000000.0,2007,Greenfield project,Globacom Benin,Merchant (100%) 
Infrastructure,,Bhutan,BT,18000000.0,2006,Greenfield,Tashi Group-second mobile license in Bhutan,
Infrastructure,,Bolivia,BO,11100000.0,2000,Divestiture,Bolivian Airports Fuel Terminals,Full
Infrastructure,,Bolivia,BO,15400000.0,2000,Greenfield project,NuevaTel PCS de Bolivia,"Build, own, and operate"
Primary,,Bolivia,BO,2300000000.0,2007,Concession,El Mutun,
Competitive,,Bosnia and Herzegovina,BA,24600000.0,2000,,Cement Plant Kakanj,
Competitive,,Bosnia and Herzegovina,BA,9750000.0,2001,,Fabrika Cementa Lukavac,
Competitive,,Bosnia and Herzegovina,BA,12800000.0,2001,,Sarajevo Holiday Inn,
Primary,,Bosnia and Herzegovina,BA,3770000.0,2003,,Birac Zvornik,
Competitive,,Bosnia and Herzegovina,BA,17670000.0,2004,Auction,TKA Cardboard,
Competitive,,Bosnia and Herzegovina,BA,14600000.0,2005,Tender,Banjalucka pivara,"53,81% shares"
Competitive,,Bosnia and Herzegovina,BA,1570000.0,2005,Tender,Tvornica Kuca,90% Cash 10% Cerificates
Financial,,Bosnia and Herzegovina,BA,1240000.0,2005,Direct Negotiations,KTK Visoko,
Financial,,Bosnia and Herzegovina,BA,14600000.0,2005,Direct Negotiations,Sipad Export-Import,
Financial,,Bosnia and Herzegovina,BA,2860000.0,2005,Auction,Unis CRNI VRH,
Infrastructure,,Bosnia and Herzegovina,BA,861000000.0,2006,Divestiture,Telekom Sprske,Partial (65%)
Energy,,Brazil,BR,4233300000.0,2000,Divestiture,Petrobras,Full
Financial,,Brazil,BR,3580500000.0,2000,Concession,Banespa,"Build, rehabilitate, operate, and transfer"
Infrastructure,,Brazil,BR,80600000.0,2000,Concession,Aguas Guariroba,"Rehabilitate, operate, and transfer"
Infrastructure,,Brazil,BR,990000000.0,2000,Divestiture,Comgas,Full
Infrastructure,,Brazil,BR,1004000000.0,2000,Divestiture,Companhia de Energia Eletrica de Pernambuco (CELPE),Partial
Infrastructure,,Brazil,BR,288800000.0,2000,Divestiture,Companhia Energetica do Maranhao (CEMAR),Partial
Infrastructure,,Brazil,BR,298500000.0,2000,Concession,Gas Natural Sao Paulo Sul SA,"Build, rehabilitate, operate, and transfer"
Infrastructure,,Brazil,BR,1600000.0,2000,,Hipercon - Terminais de Carga Ltda.,
Infrastructure,,Brazil,BR,106100000.0,2000,Concession,Manaus Saneamento,"Rehabilitate, operate, and transfer"
Infrastructure,,Brazil,BR,19000000.0,2000,Divestiture,Salvador Port Containers Terminal (Tecon Salvador),Partial
Infrastructure,,Brazil,BR,186000000.0,2000,Divestiture,Sociedade Anonima de Eletrificacao da Paraiba (SAELPA),Partial
Financial,,Brazil,BR,30000000.0,2001,Divestiture,Banco do Estado da Paraiba (Paraiban),Full
Financial,,Brazil,BR,1100000000.0,2001,Divestiture,Banespa,Partial
Financial,,Brazil,BR,538000000.0,2001,Divestiture,Caixa Seguros,Full
Infrastructure,,Brazil,BR,19600000.0,2001,Divestiture,Anchieta - Imigrantes Toll Road,Partial
Infrastructure,,Brazil,BR,105200000.0,2001,Concession,Companhia Piratininga de Forca e Luz,"Build, rehabilitate, operate, and transfer"
Infrastructure,,Brazil,BR,83800000.0,2001,Management and lease contract,Port of Sepetiba Terminal de Conteineres (Tecon 1),Lease contract
Infrastructure,,Brazil,BR,918000000.0,2001,Greenfield project,TIM Celular SA,"Build, own, and operate"
Infrastructure,,Brazil,BR,279000000.0,2001,Greenfield project,TNL PCS SA,"Build, own, and operate"
Infrastructure,,Brazil,BR,251000000.0,2001,Concession,Wireless Telecom License,
Primary,,Brazil,BR,541900000.0,2001,Concession,Petreoquimica do nordeste (Copene),"Rehabilitate, operate, and transfer"
Infrastructure,,Brazil,BR,3500000.0,2002,Greenfield project,Port of Suape Container Terminal,"Build, own, and operate"
Infrastructure,,Brazil,BR,271000000.0,2002,Concession,TNL PCS SA,"Build, rehabilitate, operate, and transfer"
Infrastructure,,Brazil,BR,,2003,Concession,Caminhos do Parana Toll Road,"Build, rehabilitate, operate, and transfer"
Financial,,Brazil,BR,26600000.0,2004,,State Bank of Maranhao,
Infrastructure,,Brazil,BR,209600000.0,2004,,Companhia de Saneamento Basico do Estado de Sao Paulo,
Infrastructure,,Brazil,BR,408000000.0,2004,Concession,Line 4 Rio Metro,"Build, rehabilitate, operate, and transfer"
Infrastructure,,Brazil,BR,3700000.0,2004,Greenfield project,Transleste II,"Build, own, and operate"
Infrastructure,,Brazil,BR,5000000.0,2005,Greenfield project,Artemis Transmissora de Energia SA,"Build, own, and operate"
Infrastructure,,Brazil,BR,9700000.0,2005,Greenfield project,Campos Novos Power Plant,"Build, own, and operate"
Infrastructure,,Brazil,BR,59300000.0,2005,Greenfield project,Cuiaba  Itumbiara Transmission Line,"Build, own, and operate"
Infrastructure,,Brazil,BR,535000000.0,2006,Divestiture,Companhia de Transmissao de Energia Electrica Paulista (CTEEP),Partial (74.9 %)
Infrastructure,,Brazil,BR,59300000.0,2006,Greenfield,Cuiaba-Utumbiara Transmission Line,"Build, own and transfer"
Infrastructure,,Brazil,BR,12900000.0,2007,Greenfield project,Estreito Hydroelectric Power Plant,Merchant (100%) 
Infrastructure,,Brazil,BR,97900000.0,2007,Greenfield project,Foz do Chapeco Hydroelectric Power Plant,"Build, own, and operate (51%)"
Infrastructure,,Brazil,BR,760000000.0,2007,Concession,Norte Sul Railroad,"Build, rehabilitate, operate, and transfer (100%)"
Infrastructure,,Brazil,BR,2200000.0,2008,Greenfield project,Salto do Rio Verdinho HPP,"Build, own, and operate"
Infrastructure,,Brazil,BR,1090000000.0,2008,Concession,Rodoanel Mario Covas Western Beltway,"Build, rehabilitate, operate, and transfer"
Infrastructure,,Brazil,BR,154000000.0,2008,Concession,Tecon Imbituba,"Build, rehabilitate, operate, and transfer"
Competitive,,Bulgaria,BG,11000000.0,2000,Concession,Pamporovo Mountain Resort,"Build, rehabilitate, operate, and transfer"
Energy,,Bulgaria,BG,15000000.0,2000,Concession,Pirinska Bistritsa,"Build, rehabilitate, operate, and transfer"
Financial,,Bulgaria,BG,316200000.0,2000,Concession,Bulbank AD,"Build, rehabilitate, operate, and transfer"
Other,,Bulgaria,BG,2300000.0,2000,,Sodi Devnya,
Competitive,,Bulgaria,BG,8400000.0,2001,,Beliizvorski Tsement,
Competitive,,Bulgaria,BG,7200000.0,2001,,Hotel Complex Europe,
Financial,,Bulgaria,BG,6200000.0,2001,,Tz-Tznika,
Infrastructure,,Bulgaria,BG,135000000.0,2001,,Globul,
Competitive,,Bulgaria,BG,6200000.0,2002,,Alen-Mak Plovdiv,
Competitive,,Bulgaria,BG,7300000.0,2002,,Intertravel Service,
Financial,,Bulgaria,BG,85870000.0,2002,Private Sale,Biochim,
Other,,Bulgaria,BG,2900000.0,2002,Private Sale,Shumensko Pivo,
Primary,,Bulgaria,BG,7100000.0,2002,,Lagerenzavot,
Competitive,,Bulgaria,BG,9560000.0,2003,,Atomenergoremont PLC,
Competitive,,Bulgaria,BG,3720000.0,2003,Private Sale,Rodina Publishing & Printing House,
Energy,,Bulgaria,BG,24580000.0,2003,,Prouchvane i Dobiv na Neft i Gaz,
Financial,,Bulgaria,BG,363730000.0,2003,,Banka DSK AD,
Financial,,Bulgaria,BG,358580000.0,2003,,DSK Bank EAD,
Infrastructure,,Bulgaria,BG,4890000.0,2003,Greenfield project,"Portflot Bourgas, EAD","Build, own, and operate"
Infrastructure,,Bulgaria,BG,13300000.0,2003,,Russe gas distribution,
Infrastructure,,Bulgaria,BG,,2003,,Sofia gas distribution,
Infrastructure,,Bulgaria,BG,5300000.0,2003,,Varna gas distribution,
Infrastructure,,Bulgaria,BG,722000000.0,2004,Divestiture,Bulgarian Telecommunications Company,Partial
Infrastructure,,Bulgaria,BG,181000000.0,2004,Divestiture,Northeast Electricity Distribution Group,Partial
Infrastructure,,Bulgaria,BG,345000000.0,2004,Divestiture,Southeast Electricity Distribution Group,Partial
Competitive,,Bulgaria,BG,1270000.0,2005,,Dunarit Russe ,
Competitive,,Bulgaria,BG,1750000.0,2005,,Gypsum Koshava ,
Infrastructure,,Bulgaria,BG,26500000.0,2005,Greenfield project,Globul,"Build, own, and operate"
Infrastructure,,Bulgaria,BG,51400000.0,2005,Greenfield project,MobilTel AD,"Build, own, and operate"
Infrastructure,,Bulgaria,BG,363500000.0,2005,Divestiture,Western Electricity Distribution Group,Partial
Infrastructure,,Bulgaria,BG,259000000.0,2006,Divestiture,Varna Power Plant,Full
Infrastructure,,Bulgaria,BG,117000000.0,2007,Divestiture,Ruse Thermal Power Plant ,Full 
Infrastructure,,Bulgaria,BG,32000000.0,2007,Divestiture,Slanchev Briag Electricity Distribution Company,Full 
Competitive,,Bulgaria,BG,36960000.0,2008,IPO,Bulgartabac ,
Competitive,,Bulgaria,BG,334410000.0,2008,Private Sale,Bulgarian Marine Operator,Partial (70%)
Infrastructure,,Burkina Faso,BF,10600000.0,2000,Greenfield project,Celtel Burkina Faso,"Build, own, and operate"
